Pirgua|EL RUBI|SAN ROQUE|EL ARRAYAN
Runta|VILLA CECILIA LC 2||LA RESERVA
Pirgua|EL BATAN||FRANJA DE TERRENO 1
Runta|KR 12 14 164 S|EL NARANJO|1
Runta|KR 4 7 353 S|KR 4 4 407 S|KR 5A 7 361 S RUNTA
Runta||KR 4 7 353 S|KR 4 7 407 S IN
Runta|VILLA CECILIA LC 2||LAS PIEDRITAS
Runta Parte Alta|SAN ANTONIO BALCONCITO||SAN ANTONIO BALCONCITO
Runta|KR 4 7 353 S||KR 4 7 353 S
Runta|||KR 13 11 22 S LC 12
Runta|||KR 13 11 106 S
La Colorada|KR 11C 59LC 3||KR 11C 59LC 3
Pirgua|EL BATAN||EL BATAN
Pirgua|QUEBRADAHONDA||BRISAS DE BUENOSAIRES
Pirgua|PENA AMARILLA|QUEBRADAHONDA|LA MANA
Pirgua|CASABLANCA|PENA AMARILLA|EL GURRUBO Y EL ALTO
Pirgua|CERCADO|ALTAMIRA|CERCADO
Pirgua|ALTAMIRA|EL ARRABAL|SAN PEDRO
Pirgua|ALTAMIRA|EL ARRABAL|FALDA
Pirgua|EL NUEVO VARITO|EL TINTO LT 1|ALISO
Pirgua|VILLA CAROLA|CAMPO HERMOSO|VILLA CAROLA
Pirgua|EL RETAMO|LA PLANADITA EL BORRACHERO|EL RETAMO
Porvenir|SAN MIGUEL||SAN MIGUEL
Porvenir|SAN MIGUEL|EL ARRABAL|SANTA LUCIA
Runta|KR 12 14 164 S|EL NARANJO|KR 12 14 148 S
Porvenir|MONSERRATE||SAN CAMILO
Porvenir|SAN JOSE||SAN JOSE
Porvenir|||SAN ANTONIO
Porvenir|||LA HERMITA
Porvenir|MONSERRATE||SAN ONOFRE
Porvenir|LA ESMERALDA||LA ESMERALDA
Porvenir|PQ||LT 17 MZ 1
Porvenir|BUENAVISTA||BUENAVISTA
Pirgua|SANTA ANA||SANTA ANA
Pirgua||EL ARRABAL|EL AYUELO
Pirgua|LA INMENSIDAD|CASANI|LA INMENSIDAD
La Cascada|LOS ALPES LO 7||LA LADERA
Pirgua|EL CEBADERO LC 6|LOS ALPES LO 7|EL AVENTINO 8
La Cascada|LAS MERCEDES|SAN GIL|LAS MERCEDES
La Cascada|LA PRIMAVERA||EL RINCON DE LA PENA
Pirgua|CASABLANCA|EL ARRABAL|SAN ANTONIO
Pirgua|CASABLANCA|LA VILLITA|SAN JOQUIN
Runta Parte Alta|VILLA NATIVIDAD||EL EUCALIPTUS
Runta Parte Alta||VILLA NATIVIDAD|LOS RAMIREZ
Runta Parte Alta|VILLA NATIVIDAD||LT 7
Runta Parte Alta||VILLA NATIVIDAD|SPAC
Runta Parte Alta|VILLA NATIVIDAD||EL DORADO
Runta Parte Alta|||ES RUNTA
Runta Parte Alta|SANTA MARIA||SANTA MARIA
Runta Parte Alta|BRISAS DEL ORIENTE||SANTA ANA
Runta Parte Alta|BRISAS DEL ORIENTE||LAS DELICIAS
